Sentiment,tokens_text
Negative,stuck innarrow rut
Negative,dirty accessories new collection check collection
Negative,salvador debt officially downgraded meanwhile rest worlds drastically worsened value going continue increase fiat always done decrease governments adjust
Negative,disappointed metaverses like decentraland
Negative,gas got earth man made toxic country see stars dont feel like earth exsit feel like nothing real bleed move hurt feel
Negative,inevitable heading toward forlong time good bad physical virtual worlds collide
Negative,affected inflation
Negative,toxic
Negative,adverse
Negative,rising tensions
Negative,adverse audience
Negative,steady building buy dip panic sell either way still extremely early fill bags patient ignore fud watch ecosystem flourish naka blok link
Negative,forever starts venture gamify fashion retailing fast fashion brand hopping roblox bandwagon exclusive partnership gaming platform attempt advertise adverse audience
Negative,alliance system found game players form alliance form battling war system alliance
Negative,think live longer years willing permanently leave physical body becomeliving app
Negative,know yall missed gem bang
Negative,damn dude looks punishing absolutely stoked
Negative,shit fucking cringe
Negative,operation doge squeeze update shorts attacked shorts added letpush pain doge
Negative,forget get version rides see
Negative,wanderlust born askid real virtual worlds travel always clearly fired overlapping stim centers brain generation first grow foot planted realms
Negative,stealth launch happening tomorrow nov heard rumors chinese community bullish token launch amlfg check
Negative,woke news massive stolen openseaguess would call regulations insightful thread happened
Negative,want miss
Negative,panic bad sell
Negative,morgan stanley sees trillion market china alone via
Negative,new disturbing accounts sexual assaults zuckerbergnew virtual racking
Negative,come fear future came shape
Negative,next future set take market storm buy cry later bezoge
Negative,issuccessful left without attentionbelieve company best offer market
Negative,marketplace push native companies embrace disruptive new paradigm die nikephysical products like handcuffs marketplace force platforms move centralized fully decentralized
Negative,itmeta pumps coins watch dump rmrk ultra pyr derace blok chain wars
Negative,mentioning floki pup andstill think ita sleeping giant team hard work getting game developed
Negative,wipe dirt shoulder get real stay tuned
Negative,modelling phase riders almost complete next apply skin face hair texture sick gear items ready shred updates coming soon
Negative,could feel real life pain including bird pecking skin thanks japanese sta sun
Negative,solid overview crossovers battle passes fortnite changed game
Negative,cares nothing unleashed wants seems guess wants lots sex murder child
Negative,fashion ready luxury fashion stopped worrying embraced future shopping avatar attime kristen bateman
Negative,dmsoffcould share detail twin ourproject dapp potentially unique elements components coulda flop
Negative,lowest atm pump hard near future islong term target
Negative,bluzelle enters denomination based card battle game blz
Negative,per post imagine could use approach solve post traumatic stress idea thiss therean interesting model
Negative,embarrassed
Negative,sofew days agoasked feel narrative serious procrastination topichave finally decided get together write long winded review results aswell personal feel
Negative,wonder weatherlike turning crap
Negative,saw fast blew creators still doubting whatmissing
