Datetime,Tweet Id,OriginalText,Username,Text_Cleaned,tokens,Text,Subjectivity,Polarity,NumberOfWords,MeanWordLength,P&SSentiment,SIA Positive Sentiment,SIA Neutral Sentiment,SIA Negative Sentiment,Class
2021-10-27 23:55:39+00:00,1453510737838624776,"It is a really LEGIT project. This is an excellent iniative with super technical team. guys let's go support this project,next big 
 Connect your wallet &amp; Deposit 10 BAFI to play
@suro

@AliRag
                     
@Sany mondalbd222               

#OLY #Metaverse #RaceToWin https://t.co/2MWtOlrs52",akas_mondol222,it isreally legit project this is an excellent iniative with super technical team guys letgo support this project next big connect your wallet amp deposit  bafi to play ,"['isreally', 'legit', 'excellent', 'iniative', 'super', 'technical', 'team', 'guys', 'letgo', 'support', 'next', 'big', 'connect', 'wallet', 'deposit', 'bafi', 'play']",isreally legit excellent iniative super technical team guys letgo support next big connect wallet deposit bafi play,0.3733333333333333,0.2666666666666666,17,5.82,Positive,0.4940009999999999,0.506001,1e-06,0
2021-10-27 23:55:21+00:00,1453510662169059335,"@oly_sport It is a really LEGIT project. This is an excellent iniative with super technical team. guys let's go support this project,next big 
 Connect your wallet &amp; Deposit 10 BAFI to play
@suro

@AliRag
                     
@Sany mondalbd222               

#OLY #Metaverse #RaceToWin",akas_mondol222,it isreally legit project this is an excellent iniative with super technical team guys letgo support this project next big connect your wallet amp deposit  bafi to play ,"['isreally', 'legit', 'excellent', 'iniative', 'super', 'technical', 'team', 'guys', 'letgo', 'support', 'next', 'big', 'connect', 'wallet', 'deposit', 'bafi', 'play']",isreally legit excellent iniative super technical team guys letgo support next big connect wallet deposit bafi play,0.3733333333333333,0.2666666666666666,17,5.82,Positive,0.4940009999999999,0.506001,1e-06,0
2021-10-27 23:52:40+00:00,1453509988043927562,I'm excited to be one of the first guests on this #newpodcast all about the #Metaverse from @pjcozzi of @CesiumJS and @mpetit of @UnrealEngine. I also had the amazing opportunity to meet and chat with the impressive @ballmatthew. Hope you all take a listen! https://t.co/r6RUBEX3Ig,samanthagwolfe,iexcited to be one of the first guests on this all about the from of and ofalso had the amazing opportunity to meet and chat with the impressive hope you all takelisten,"['iexcited', 'first', 'guests', 'ofalso', 'amazing', 'opportunity', 'meet', 'chat', 'impressive', 'hope', 'takelisten']",iexcited first guests ofalso amazing opportunity meet chat impressive hope takelisten,0.7444444444444445,0.6166666666666667,11,6.82,Positive,0.646001,0.3540009999999999,1e-06,0
2021-10-27 23:46:14+00:00,1453508366106386440,"@AirdropStario A great project, hope it succeeds.

@maritza_haniyya
@hana_fathiyya
@DinhSangTran1

#cryptocurrency #Airdrop #BSC #Bitcoin #ETH #SAPCE #SupreSpace #Metaverse #Airdropstario",virtualcross,a great project hope it succeeds,"['great', 'hope', 'succeeds']",great hope succeeds,0.425,0.75,3,5.67,Positive,1.000001,1e-06,1e-06,0
2021-10-27 23:45:19+00:00,1453508138947198979,"I think he has strong. we may see bigger pump soon.

Güçlü olduğunu düşünüyorum
Yakında daha büyük bir yükseliş görebiliriz.

#enjin #enj $enj #Metaverse https://t.co/u3VgHvutdJ",jordanbelfoord,i think he has strong we may see bigger pump soon güçlü olduğunu düşünüyorum yakında daha büyük bir yükseliş görebiliriz enj,"['think', 'strong', 'may', 'see', 'bigger', 'pump', 'soon', 'guclu', 'oldugunu', 'dusunuyorum', 'yakinda', 'daha', 'buyuk', 'bir', 'yukselis', 'gorebiliriz', 'enj']",think strong may see bigger pump soon guclu oldugunu dusunuyorum yakinda daha buyuk bir yukselis gorebiliriz enj,0.6166666666666667,0.2166666666666666,17,5.65,Positive,0.171001,0.829001,1e-06,0
2021-10-27 23:36:53+00:00,1453506015668936711,"@SupreSpace Thanks for this nice event
@Hseyin31658061
@Bugocn00Yedek
@Ferhat49782620 
#ETH #metaverse #gamefi #playtoearn",frhtdgn,thanks for this nice event,"['thanks', 'nice', 'event']",thanks nice event,0.6,0.4,3,5.0,Positive,0.851001,0.149001,1e-06,0
2021-10-27 23:35:51+00:00,1453505753587802113,"@SupreSpace Thanks for this nice event
#SPACE #SupreSpace #Metaverse #GameFi #NFTs 
0x7cf9E6FEe9e8Cfc56F7F274005544aA58069dB15",frhtdgn,thanks for this nice event ,"['thanks', 'nice', 'event']",thanks nice event,0.6,0.4,3,5.0,Positive,0.851001,0.149001,1e-06,0
2021-10-27 23:35:20+00:00,1453505626475171841,"good luck
@Hot6668 @DinhHoa52367470 @NgocBao02 

#cryptocurrency #Airdrop #BSC #Bitcoin #ETH #SAPCE #SupreSpace #Metaverse #Airdropstario https://t.co/cE0a7Fz2SJ",thanhtu2488,good luck,"['good', 'luck']",good luck,0.6000000000000001,0.7,2,4.0,Positive,1.000001,1e-06,1e-06,0
2021-10-27 23:32:05+00:00,1453504805507379200,"@CryptoWizardd @Metahero_io will be the portal and foundation of many metaverse projects. With 3d Scanning tech and database from @wdw_io you will be able to transform every physical object into a digital form, and take it to the #metaverse #BeYourOwnHero https://t.co/YmheeGkmnh",FaLoLiEl,will be the portal and foundation of many metaverse projects with  scanning tech and database from you will be able to transform every physical object intodigital form and take it to the,"['portal', 'foundation', 'many', 'scanning', 'tech', 'database', 'able', 'transform', 'every', 'physical', 'object', 'intodigital', 'form', 'take']",portal foundation many scanning tech database able transform every physical object intodigital form take,0.4226190476190476,0.3333333333333333,14,6.5,Positive,1e-06,1.000001,1e-06,0
2021-10-27 23:31:03+00:00,1453504546345455619,"@Elite_Portraits is now LIVE hand-crafting the artwork for the PLANET #NFTs in the #StarShipNFT #P2E Game! 

🪐Claim these planet NFTs in Phase 2: Conquest to earn additional $KYANITE!

Watch now👇👇⠀⠀
https://t.co/ndNY7cjpkl 

@OnikamiGames 

#deploystarship #GameFi #Metaverse https://t.co/5eqv0hc67G",DeployStarShip,is now live hand crafting the artwork for the planet in the game claim these planet nfts in phase  conquest to earn additional kyanite watch now,"['live', 'hand', 'crafting', 'artwork', 'planet', 'game', 'claim', 'planet', 'phase', 'conquest', 'earn', 'additional', 'kyanite', 'watch']",live hand crafting artwork planet game claim planet phase conquest earn additional kyanite watch,0.45,-0.1318181818181818,14,5.93,Negative,0.198001,0.8020010000000001,1e-06,0
2021-10-27 23:30:32+00:00,1453504418628833280,"Meta spatial project roadmap,, very cleae
I belive this project gonna huge,, 

@IAM724141898 @nanfazr @fahmi_luthfia 
#SPAT #MetaSpatial #Metaverse #NFTs https://t.co/5YvJXl0LSU",FebriKazee,meta spatial project roadmap very cleaebelive this project gonna huge,"['spatial', 'roadmap', 'cleaebelive', 'gonna', 'huge']",spatial roadmap cleaebelive gonna huge,0.9,0.4000000000000001,5,6.8,Positive,0.3650009999999999,0.635001,1e-06,0
2021-10-27 23:28:53+00:00,1453504000276373506,"Amazing event tonight 
join event :https://t.co/faEbRAsIAk

@TheAquariumdcl @decentraland @ChangGangHQ  #Metaverse https://t.co/dASt4rfVVB",kirito138325554,amazing event tonight join event,"['amazing', 'event', 'tonight', 'join', 'event']",amazing event tonight join event,0.9,0.6000000000000001,5,5.6,Positive,0.6670010000000001,0.333001,1e-06,0
2021-10-27 23:19:41+00:00,1453501688279666689,"WOW Thanks for joining the Party everyone!
We had an absolute blast with a completely packed Aquarium🎉🦈

Thx to @TheAquariumdcl for hosting
@DJPopRoXxX for an amazing dj set
@JeremyMcKane for a great AMA
&amp; all the sharkz who support us

See you again @ the next #metaverse party https://t.co/SdqRVaSmNP",SnarkySharkz,wow thanks for joining the party everyone we had an absolute blast withcompletely packed aquarium thx to for hosting for an amazing dj set forgreat ama amp all the sharkz who support us see you again the next party,"['wow', 'thanks', 'joining', 'party', 'everyone', 'absolute', 'blast', 'withcompletely', 'packed', 'aquarium', 'thx', 'hosting', 'amazing', 'set', 'forgreat', 'ama', 'sharkz', 'support', 'see', 'next', 'party']",wow thanks joining party everyone absolute blast withcompletely packed aquarium thx hosting amazing set forgreat ama sharkz support see next party,0.6,0.22,21,6.0,Positive,0.601001,0.399001,1e-06,0
2021-10-27 23:17:32+00:00,1453501145029165060,"🔔 CURRENT PRICE ALERT 🔔

1️⃣ $DPI #DeFiPulse Price: $333.33
2️⃣ $MVI #MetaVerse Price: $144.75
3️⃣ $BTC #BTC Price: $58759
4️⃣ $ETH #ETH Price: $3984.11",0xBrk3,current price alert  dpi price    mvi price    btc price   eth price  ,"['current', 'price', 'alert', 'dpi', 'price', 'mvi', 'price', 'price', 'price']",current price alert dpi price mvi price price price,0.4,0.0,9,4.78,Neutral,0.216001,0.7840010000000001,1e-06,0
2021-10-27 23:16:32+00:00,1453500893630926849,"Wow what an amazing project which should be followed until it successful
@ardiansyhrl
@tyebabe3104
@Jaguargm_
#SPAT #MetaSpatial #Metaverse #NFTs https://t.co/zuixJGVYfG",btrfly182_,wow what an amazing project which should be followed until it successful,"['wow', 'amazing', 'followed', 'successful']",wow amazing followed successful,0.9499999999999998,0.4833333333333334,4,7.0,Positive,0.919001,0.081001,1e-06,0
2021-10-27 23:15:40+00:00,1453500673924993024,"The #Metaverse is a place that does not have any boundries while barely any barriers to entry. It's truly place for all! Projects like @decentraland blow my mind 🤯🤯🤯 

#WednesdayWisdom",adityataday,the isplace that does not have any boundries while barely any barriers to entry ittruly place for all projects like blow my mind,"['isplace', 'boundries', 'barely', 'barriers', 'entry', 'ittruly', 'place', 'like', 'blow', 'mind']",isplace boundries barely barriers entry ittruly place like blow mind,0.1,0.05,10,5.9,Positive,0.217001,0.7830010000000001,1e-06,0
2021-10-27 23:15:10+00:00,1453500550666801157,"@MonsterArenaBSC This is so amazing $MON am impressed with this project, hopefully with this event the community and especially this coin will achieve success. GO! GO!

@MOHIDEE97858672

@Allan61644454

@sandi5462

@AltcoinDailyio

@1302nivram

#Airdrop #GameFi #NFT #PlayToEarn #Metaverse",jungjawa,this is so amazing mon am impressed with this project hopefully with this event the community and especially this coin will achieve success go go,"['amazing', 'mon', 'impressed', 'hopefully', 'event', 'community', 'especially', 'coin', 'achieve', 'success']",amazing mon impressed hopefully event community especially coin achieve success,0.725,0.475,10,7.0,Positive,0.693001,0.3070009999999999,1e-06,0
2021-10-27 23:13:03+00:00,1453500017780482049,"The future is in the #metaverse there is so much you could do with this #technology 

Can't wait to enter and help the #Community https://t.co/1AeTOVCpNo",expankita,the future is in the there is so much you could do with this canwait to enter and help the,"['future', 'much', 'could', 'canwait', 'enter', 'help']",future much could canwait enter help,0.1625,0.1,6,5.17,Positive,0.3510009999999999,0.649001,1e-06,0
2021-10-27 23:12:25+00:00,1453499859311505412,"#WHYIGRIND News 

Building His Brand Using #NFTs

Welcome @calebcruz2027 to our #NFT (Nonfungible Token) Guardians Of The Grind Collection 

@vincelindy #Blockchain  @KadeGibbs2029 #Metaverse #Crypto @AustanQB 

View NFT Membership 
https://t.co/mDQF5WlVWx",PlayBookAthlete,news building his brand using welcome to our nonfungible token guardians of the grind collection view nft membership,"['news', 'building', 'brand', 'using', 'welcome', 'nonfungible', 'token', 'guardians', 'grind', 'collection', 'view', 'membership']",news building brand using welcome nonfungible token guardians grind collection view membership,0.9,0.8,12,6.92,Positive,0.214001,0.7860010000000001,1e-06,0
2021-10-27 23:12:05+00:00,1453499772996816896,@JakeGagain @InuSaitama @Shibtoken @Mononoke_Inu @KleeKaiETH @KishimotoInu ATTENTION 2 #p2e games being released next month #vempire is going to be huge #roi 🚀💯 more #p2e games next year #chainlink is a partner. #defi platform huge #metaverse rewards. My #retirement  plan #polygon #bsc bridge next. #doxxed team with huge liquidity pool 🤯 mind blowing,kevincrypt69420,attention  games being released next month is going to be huge more games next year ispartner platform huge rewards my plan bridge next team with huge liquidity pool mind blowing,"['attention', 'games', 'released', 'next', 'month', 'going', 'huge', 'games', 'next', 'year', 'ispartner', 'platform', 'huge', 'rewards', 'plan', 'bridge', 'next', 'team', 'huge', 'liquidity', 'pool', 'mind', 'blowing']",attention games released next month going huge games next year ispartner platform huge rewards plan bridge next team huge liquidity pool mind blowing,0.45,0.2,23,5.52,Positive,0.3450009999999999,0.655001,1e-06,0
2021-10-27 23:08:44+00:00,1453498929899663360,Welcome to the #metaverse https://t.co/M8C2xTMyKX,EDDIIISLANDS,welcome to the,['welcome'],welcome,0.9,0.8,1,7.0,Positive,1.000001,1e-06,1e-06,0
2021-10-27 23:08:22+00:00,1453498838430351362,"Digital land grab is already underway, wait for more announcements like this and even analyst’s deep review about #Metaverse till the masses understand its use-cases! Congratulations to @SomniumSpace  
https://t.co/Nrx4hL3nxv",DesignMinato,digital land grab is already underway wait for more announcements like this and even analystdeep review about till the masses understand its use cases congratulations to,"['digital', 'land', 'grab', 'already', 'underway', 'wait', 'announcements', 'like', 'even', 'analystdeep', 'review', 'till', 'masses', 'understand', 'use', 'cases', 'congratulations']",digital land grab already underway wait announcements like even analystdeep review till masses understand use cases congratulations,0.0,0.0,17,6.76,Neutral,0.2990009999999999,0.701001,1e-06,0
2021-10-27 23:08:00+00:00,1453498745417469952,"Facebook to create 10,000 jobs in the EU over the next five years to help build the metaverse - to help unlock access to new creative, social and economic opportunities. @nickclegg  #Facebook #Metaverse  https://t.co/fMIUnRBQuo",IBC365,facebook to create   jobs in the eu over the next five years to help build the metaverse to help unlock access to new creative social and economic opportunities,"['facebook', 'create', 'jobs', 'next', 'five', 'years', 'help', 'build', 'help', 'unlock', 'access', 'new', 'creative', 'social', 'economic', 'opportunities']",facebook create jobs next five years help build help unlock access new creative social economic opportunities,0.3442424242424242,0.1739393939393939,16,5.88,Positive,0.5420010000000001,0.458001,1e-06,0
2021-10-27 23:05:38+00:00,1453498151336177664,"@HeliconNFT Good project sir

@BangunArya6
@Rofeq_cok
@ANgatiyono
@ARIFSU12345

#play2earn #playtoearn #metaverse #nftgames #nftgaming #blockchaingames",maulana85817161,good project sir,"['good', 'sir']",good sir,0.6000000000000001,0.7,2,3.5,Positive,0.744001,0.256001,1e-06,0
2021-10-27 23:03:42+00:00,1453497663232561154,@carlo_armilo @pixlrgenesis Get ready...#MetaWars is about to make it's way into the #Metaverse $GameFi,cryptoraymond2,get ready is about to make itway into the gamefi,"['get', 'ready', 'make', 'itway']",get ready make itway,0.5,0.2,4,4.25,Positive,0.455001,0.5450010000000001,1e-06,0
2021-10-27 22:57:40+00:00,1453496145007689731,"@DreamsQuestNFT The $DREAMS token holds the key to unlocking a variety of unique experiences and accessing a variety of game assets! This is really cool. @davidgokhshtein , ready of this feat?💯

#NFT #GameFi #Blockchain #cryptocurrency #Metaverse",FranzLo38875408,the dreams token holds the key to unlockingvariety of unique experiences and accessingvariety of game assets this is really cool ready of this feat,"['dreams', 'token', 'holds', 'key', 'unlockingvariety', 'unique', 'experiences', 'accessingvariety', 'game', 'assets', 'really', 'cool', 'ready', 'feat']",dreams token holds key unlockingvariety unique experiences accessingvariety game assets really cool ready feat,0.71,0.1049999999999999,14,6.93,Positive,0.4940009999999999,0.506001,1e-06,0
2021-10-27 22:53:11+00:00,1453495018791051268,"The blockchain-based, #NFT #metaverse is flipping #gaming on its head, letting users create, trade, &amp; earn on innovative platforms like @Dvision_network. An in-depth look at the metaverse &amp; its growing number of use cases will be dropping soon on #TheBit. 
 
#DVI $DVI",chris_sinkey,the blockchain based is flipping on its head letting users create trade amp earn on innovative platforms like an in depth look at the metaverse amp its growing number of use cases will be dropping soon on dvi,"['based', 'flipping', 'head', 'letting', 'users', 'create', 'trade', 'earn', 'innovative', 'platforms', 'like', 'depth', 'look', 'growing', 'number', 'use', 'cases', 'dropping', 'soon', 'dvi']",based flipping head letting users create trade earn innovative platforms like depth look growing number use cases dropping soon dvi,1.0,0.5,20,5.6,Positive,0.4120009999999999,0.588001,1e-06,0
2021-10-27 22:52:26+00:00,1453494830219280390,"Join us on the @dotgems_ stage in @cryptovoxels  🕺👯‍♀️

🏟️🎶🚀

#GetSchwifty #MVMF2021 @MVMFPresents #MVMF #WAXGang #Metaverse #VR #VirtualConcert #VirtualReality #cXc https://t.co/zSmZU1aewT",CurrentXChange,join us on the stage in,"['join', 'stage']",join stage,0.0,0.0,2,4.5,Neutral,0.688001,0.312001,1e-06,0
2021-10-27 22:48:18+00:00,1453493788765208577,"@bloktopia Keep Building and Will keep promoting because we believe in your vision. We're excited to see more of this unique #Metaverse..hope you are leaving a floor for us, the loyal, faithful and strong handed #BLOKARMY AKA BLOKTOPIANS $BLOK, to have fun and socialise.",Analyst_Hassan,keep building and will keep promoting because we believe in your vision we re excited to see more of this unique you are leavingfloor for us the loyal faithful and strong handed aka bloktopians blok to have fun and socialise,"['keep', 'building', 'keep', 'promoting', 'believe', 'vision', 'excited', 'see', 'unique', 'leavingfloor', 'loyal', 'faithful', 'strong', 'handed', 'aka', 'bloktopians', 'blok', 'fun', 'socialise']",keep building keep promoting believe vision excited see unique leavingfloor loyal faithful strong handed aka bloktopians blok fun socialise,0.7033333333333334,0.3633333333333333,19,6.37,Positive,0.619001,0.381001,1e-06,0
2021-10-27 22:42:29+00:00,1453492324961435649,Something something excited ! #VR #AI #MobileGame #BlockchainGaming #Metaverse #PlayToEarn https://t.co/JRcaX4p73p,Cryptotwiggy,something something excited,"['something', 'something', 'excited']",something something excited,0.75,0.375,3,8.33,Positive,0.5450010000000001,0.455001,1e-06,0
2021-10-27 22:41:28+00:00,1453492071021613063,@CryptoIRELAND1 Bro I hope you bought a bag of #vempire (gamer token) #vemp is releasing 2 #p2e games this year going to be huge #defi platform with triple yield in #metaverse #stacking #doxxed team #Polygon #bsc bridge after game launch going to be the next #AxieInfinity check us out 👀,kevincrypt69420,brohope you boughtbag of gamer token is releasing  games this year going to be huge platform with triple yield in team bridge after game launch going to be the next check us out,"['brohope', 'boughtbag', 'gamer', 'token', 'releasing', 'games', 'year', 'going', 'huge', 'platform', 'triple', 'yield', 'team', 'bridge', 'games', 'launch', 'going', 'next', 'check']",brohope boughtbag gamer token releasing games year going huge platform triple yield team bridge games launch going next check,0.45,0.2,19,5.63,Positive,0.113001,0.887001,1e-06,0
2021-10-27 22:41:17+00:00,1453492024364056577,"This is just getting exciting! Can't wait to use $DREAMS and enter tournaments and earn from rental of game card packs! @Bitboy_Crypto , ready to build your allies? 💯🚀

#NFT #GameFi #cryptocurrencies #BlockchainGaming #Metaverse https://t.co/ncruJLwKzG https://t.co/jmazp9ikFh",CH4NYON,this is just getting exciting canwait to use dreams and enter tournaments and earn from rental of game card packs ready to build your allies,"['getting', 'exciting', 'canwait', 'use', 'dreams', 'enter', 'tournaments', 'earn', 'rental', 'game', 'card', 'packs', 'ready', 'build', 'allies']",getting exciting canwait use dreams enter tournaments earn rental game card packs ready build allies,0.5666666666666668,0.0333333333333333,15,5.73,Positive,0.4120009999999999,0.588001,1e-06,0
2021-10-27 22:40:02+00:00,1453491708369453061,"We're lucky to be able to work with some of the smartest, most hard working people in the whole entire #Metaverse.",gda_capital,we re lucky to be able to work with some of the smartest most hard working people in the whole entire,"['lucky', 'able', 'work', 'smartest', 'hard', 'work', 'people', 'whole', 'entire']",lucky able work smartest hard work people whole entire,0.605,0.1483333333333333,9,5.11,Positive,0.4790009999999999,0.4230009999999999,0.099001,0
2021-10-27 22:36:24+00:00,1453490795831447555,"Think that this article is CORRECT - just not sure about the timing and magnitude but it IS going to get there...and then eventually 10x that amount IMO!  #metaverse
https://t.co/VAEvZ6go1E?",enriqueabeyta,think that this article is correct just not sure about the timing and magnitude but it is going to get there and then eventually  that amount imo,"['think', 'article', 'correct', 'sure', 'timing', 'magnitude', 'going', 'get', 'eventually', 'amount', 'imo']",think article correct sure timing magnitude going get eventually amount imo,0.8888888888888888,0.5,11,5.91,Positive,0.187001,0.813001,1e-06,0
2021-10-27 22:36:07+00:00,1453490721227485187,@TheMoonCarl Bro I hope your buying #vempire before we 🚀off we’re launching 2 #PlayToEarn  #games this year yes 2 #games this year #defi platform with #metaverse #stacking #doxxed team #polygon #bsc bridge after game launch. We have so much good news to offer #hiddengem #100xGem  #vemp,kevincrypt69420,brohope your buying before we off we re launching  this year yes  this year platform with team bridge after game launch we have so much good news to offer,"['brohope', 'buying', 'launching', 'year', 'yes', 'year', 'platform', 'team', 'bridge', 'game', 'launching', 'much', 'good', 'news', 'offer']",brohope buying launching year yes year platform team bridge game launching much good news offer,0.5,0.1499999999999999,15,5.4,Positive,0.3010009999999999,0.699001,1e-06,0
2021-10-27 22:34:47+00:00,1453490387717341184,"Place is Packed! 
come join the @SnarkySharkz x @TheAquariumdcl party
in @decentraland 

https://t.co/q248yG60wd

#metaverse #nfts #dcl #decentralised https://t.co/U5CpOKA7gz",SlywestYo,place is packed come join theparty in,"['place', 'packed', 'come', 'join', 'theparty']",place packed come join theparty,0.0,0.0,5,5.4,Neutral,0.3550009999999999,0.645001,1e-06,0
